# file	nobj	faces	area
V1/v1_Camera.3dm	41	119	2841.2928
V1/v1_DeformCubes.3dm	25	30	3243.3543
V1/v1_DeformSpheres.3dm	4	4	4724.9687
V1/v1_Flow1.3dm	0	0	0.0000
V1/v1_Flow2.3dm	3	3	1411.2787
V1/v1_Flow3.3dm	0	0	0.0000
V1/v1_HumanHead1.3dm	22	23	5849.6612
V1/v1_HumanHead2.3dm	10	10	4096.1548
V1/v1_Hypercycloid.3dm	0	0	0.0000
V1/v1_Lightbulb.3dm	44	110	21889.7929
V1/v1_MatchSrf.3dm	15	26	34444.8790
V1/v1_Patch.3dm	63	83	14097.7692
V1/v1_RhinoLogo.3dm	6	22	1103.0082
V1/v1_SketchOnMesh.3dm	7	8	119510.3076
V1/v1_Smooth.3dm	4	4	4145.4334
V1/v1_Soccer.3dm	22	26	719.9727
V1/v1_Speeder.3dm	2	2	3650.0078
V1/v1_SphericalSpiral.3dm	4	4	8560.2946
V1/v1_Stearman.3dm	1	1	730.0816
V1/v1_T-Joint1.3dm	9	20	2094.4138
V1/v1_T-Joint2.3dm	13	18	2467.3858
V1/v1_Terrain.3dm	1	1	910.4292
V1/v1_UntrimmedSurfaces.3dm	11	141	8779.3396
V1/v1_five_solids.3dm	5	13	747.0445
V1/v1_three_curves.3dm	0	0	0.0000
V1/v1_three_points.3dm	0	0	0.0000
V2/v2_23_points.3dm	0	0	0.0000
V2/v2_5_curves.3dm	0	0	0.0000
V2/v2_Camera.3dm	41	119	2841.2928
V2/v2_DeformCubes.3dm	25	30	3243.3543
V2/v2_DeformSpheres.3dm	4	4	4724.9687
V2/v2_Flow1.3dm	0	0	0.0000
V2/v2_Flow2.3dm	3	3	1411.2787
V2/v2_Flow3.3dm	0	0	0.0000
V2/v2_HumanHead1.3dm	20	20	5679.5860
V2/v2_HumanHead2.3dm	10	10	4096.1548
V2/v2_Hypercycloid.3dm	0	0	0.0000
V2/v2_Lightbulb.3dm	44	110	21889.7929
V2/v2_MatchSrf.3dm	15	26	34444.7309
V2/v2_Patch.3dm	63	83	14097.7692
V2/v2_RhinoLogo.3dm	6	22	1103.0082
V2/v2_SketchOnMesh.3dm	7	8	119510.3076
V2/v2_Smooth.3dm	4	4	4145.4334
V2/v2_Soccer.3dm	22	26	719.9727
V2/v2_Speeder.3dm	2	2	3650.0078
V2/v2_SphericalSpiral.3dm	4	4	8560.2946
V2/v2_Stearman.3dm	1	1	730.0816
V2/v2_T-Joint1.3dm	9	20	2094.4138
V2/v2_T-Joint2.3dm	13	18	2467.3858
V2/v2_Terrain.3dm	1	1	910.4292
V2/v2_UntrimmedSurfaces.3dm	11	141	8779.3396
V2/v2_my_brep.3dm	1	6	520.8633
V2/v2_my_curves.3dm	0	0	0.0000
V2/v2_my_mesh.3dm	0	0	0.0000
V2/v2_my_mesh_with_material.3dm	0	0	0.0000
V2/v2_my_spot_light.3dm	1	1	1.0000
V2/v2_my_surfaces.3dm	1	1	13.8608
V2/v2_my_trimmed_surface.3dm	1	1	0.2550
V2/v2_my_viewports.3dm	0	0	0.0000
V2/v2_point_with_user_Data.3dm	0	0	0.0000
V3/v3_Camera.3dm	41	119	2853.1103
V3/v3_DeformCubes.3dm	25	30	3243.3543
V3/v3_DeformSpheres.3dm	4	4	4724.9687
V3/v3_Flow1.3dm	0	0	0.0000
V3/v3_Flow2.3dm	3	3	1411.2787
V3/v3_Flow3.3dm	0	0	0.0000
V3/v3_HumanHead1.3dm	22	23	5849.6612
V3/v3_HumanHead2.3dm	10	10	4096.1548
V3/v3_Hypercycloid.3dm	0	0	0.0000
V3/v3_Lightbulb.3dm	44	110	21889.7929
V3/v3_MatchSrf.3dm	15	26	34444.7309
V3/v3_Patch.3dm	63	83	14097.7692
V3/v3_RhinoLogo.3dm	6	22	1103.0082
V3/v3_SketchOnMesh.3dm	7	8	119510.3076
V3/v3_Smooth.3dm	4	4	4145.4334
V3/v3_Soccer.3dm	22	26	719.9727
V3/v3_Speeder.3dm	2	2	3650.0078
V3/v3_SphericalSpiral.3dm	4	4	8560.2946
V3/v3_Stearman.3dm	1	1	730.0816
V3/v3_T-Joint1.3dm	9	20	2094.4138
V3/v3_T-Joint2.3dm	13	18	2467.3858
V3/v3_Terrain.3dm	1	1	910.4292
V3/v3_UntrimmedSurfaces.3dm	11	141	8779.3396
V3/v3_my_brep.3dm	1	6	520.8633
V3/v3_my_curves.3dm	0	0	0.0000
V3/v3_my_mesh.3dm	0	0	0.0000
V3/v3_my_mesh_with_material.3dm	0	0	0.0000
V3/v3_my_points.3dm	0	0	0.0000
V3/v3_my_spot_light.3dm	1	1	1.0000
V3/v3_my_surfaces.3dm	1	1	13.8608
V3/v3_my_trimmed_surface.3dm	1	1	0.2550
V3/v3_my_viewports.3dm	0	0	0.0000
V3/v3_point_with_user_Data.3dm	0	0	0.0000
V4/v4_DVDCase_Solid.3dm	1	542	192.5494
V4/v4_DinerMug.3dm	1	4	35457.7459
V4/v4_Fluted_Cup.3dm	2	130	21599.9224
V4/v4_Gear.3dm	1	128	406.3581
V4/v4_MechPartA.3dm	1	41	127.8487
V4/v4_MechPartB.3dm	1	14	154.5158
V4/v4_PerfumeBottle_Solid.3dm	1	5	7357.3443
V4/v4_Prarie settle.3dm	101	1211	16598.4037
V4/v4_RhinoPhone.3dm	16	155	32211.7919
V4/v4_SaltAndPepper.3dm	2	98	29520.6239
V4/v4_SolidHandle.3dm	1	37	75341.0736
V4/v4_TreeFrog.3dm	1	83	6.6583
V4/v4_Wheel_PG.3dm	6	167	2913238.1036
V4/v4_WishBone.3dm	1	6	1625.7944
V4/v4_example_file.3dm	5	10	2818.2246
V5/v5_clip.3dm	14	734	31.6126
V5/v5_disk_brake.3dm	66	887	9746.4270
V5/v5_dril.3dm	0	0	0.0000
V5/v5_example_file.3dm	7	21	11230.7509
V5/v5_extrusions.3dm	7	20	3585.2568
V5/v5_my_brep.3dm	1	6	520.8633
V5/v5_my_curves.3dm	0	0	0.0000
V5/v5_my_mesh.3dm	0	0	0.0000
V5/v5_my_mesh_with_material.3dm	0	0	0.0000
V5/v5_my_point_with_user_data.3dm	0	0	0.0000
V5/v5_my_points.3dm	0	0	0.0000
V5/v5_my_spot_light.3dm	1	1	1.0000
V5/v5_my_surfaces.3dm	1	1	13.8608
V5/v5_my_trimmed_surface.3dm	1	1	0.2550
V5/v5_my_viewports.3dm	0	0	0.0000
V5/v5_rhino_logo.3dm	6	22	1105.3000
V5/v5_ring.3dm	1	21	43370.4499
V5/v5_teacup.3dm	6	135	22544.8675
V5/v5_teapot.3dm	3	98	57226.4776
V6/V6_annotation.3dm	0	0	0.0000
V6/my_curves.3dm	0	0	0.0000
V6/my_mesh.3dm	0	0	0.0000
V6/my_mesh_with_material.3dm	0	0	0.0000
V6/my_points.3dm	0	0	0.0000
