# file	nobj	area
V1/v1_Camera.3dm	99	2841.1947
V1/v1_DeformCubes.3dm	25	3243.3543
V1/v1_DeformSpheres.3dm	4	4724.9687
V1/v1_Flow1.3dm	4	0.0000
V1/v1_Flow2.3dm	16	1411.2787
V1/v1_Flow3.3dm	10	985.0127
V1/v1_HumanHead1.3dm	81	5849.6597
V1/v1_HumanHead2.3dm	10	4096.1548
V1/v1_Hypercycloid.3dm	37	0.0000
V1/v1_Lightbulb.3dm	60	21890.7889
V1/v1_MatchSrf.3dm	38	29546.7679
V1/v1_Patch.3dm	80	14101.4689
V1/v1_RhinoLogo.3dm	6	761.4997
V1/v1_SketchOnMesh.3dm	161	221299.4851
V1/v1_Smooth.3dm	56	4145.4334
V1/v1_Soccer.3dm	1371	3819.6059
V1/v1_Speeder.3dm	17	3650.0078
V1/v1_SphericalSpiral.3dm	28	8560.2946
V1/v1_Stearman.3dm	118	730.0816
V1/v1_T-Joint1.3dm	17	2049.0215
V1/v1_T-Joint2.3dm	39	2256.9524
V1/v1_Terrain.3dm	8	910.4292
V1/v1_UntrimmedSurfaces.3dm	49	8346.2617
V1/v1_five_solids.3dm	5	746.6628
V1/v1_three_curves.3dm	3	0.0000
V1/v1_three_points.3dm	3	0.0000
V2/v2_23_points.3dm	23	0.0000
V2/v2_5_curves.3dm	5	0.0000
V2/v2_Camera.3dm	99	2841.1947
V2/v2_DeformCubes.3dm	25	3243.3543
V2/v2_DeformSpheres.3dm	4	4724.9687
V2/v2_Flow1.3dm	4	0.0000
V2/v2_Flow2.3dm	16	1411.2787
V2/v2_Flow3.3dm	10	985.0127
V2/v2_HumanHead1.3dm	79	5679.5846
V2/v2_HumanHead2.3dm	10	4096.1548
V2/v2_Hypercycloid.3dm	37	0.0000
V2/v2_Lightbulb.3dm	60	21890.7889
V2/v2_MatchSrf.3dm	38	29546.7679
V2/v2_Patch.3dm	80	14101.4689
V2/v2_RhinoLogo.3dm	6	761.4997
V2/v2_SketchOnMesh.3dm	161	221299.4851
V2/v2_Smooth.3dm	56	4145.4334
V2/v2_Soccer.3dm	1371	3819.6059
V2/v2_Speeder.3dm	17	3650.0078
V2/v2_SphericalSpiral.3dm	28	8560.2946
V2/v2_Stearman.3dm	118	730.0816
V2/v2_T-Joint1.3dm	17	2049.0215
V2/v2_T-Joint2.3dm	39	2256.9524
V2/v2_Terrain.3dm	8	910.4292
V2/v2_UntrimmedSurfaces.3dm	49	8346.2617
