file	imp_nobj	imp_faces	imp_area	ser_nobj	ser_area	ser_over_imp	flag
V1/v1_Camera.3dm	41	119	2841.2928	99	2841.1947	1.000	ok
V1/v1_DeformCubes.3dm	25	30	3243.3543	25	3243.3543	1.000	ok
V1/v1_DeformSpheres.3dm	4	4	4724.9687	4	4724.9687	1.000	ok
V1/v1_Flow1.3dm	0	0	0.0000	4	0.0000		no-surface
V1/v1_Flow2.3dm	3	3	1411.2787	16	1411.2787	1.000	ok
V1/v1_Flow3.3dm	0	0	0.0000	10	985.0127		no-surface
V1/v1_HumanHead1.3dm	22	23	5849.6612	81	5849.6597	1.000	ok
V1/v1_HumanHead2.3dm	10	10	4096.1548	10	4096.1548	1.000	ok
V1/v1_Hypercycloid.3dm	0	0	0.0000	37	0.0000		no-surface
V1/v1_Lightbulb.3dm	44	110	21889.7929	60	21890.7889	1.000	ok
V1/v1_MatchSrf.3dm	15	26	34444.8790	38	29546.7679	0.858	DROPPED
V1/v1_Patch.3dm	63	83	14097.7692	80	14101.4689	1.000	ok
V1/v1_RhinoLogo.3dm	6	22	1103.0082	6	761.4997	0.690	DROPPED
V1/v1_SketchOnMesh.3dm	7	8	119510.3076	161	221299.4851	1.852	extra?
V1/v1_Smooth.3dm	4	4	4145.4334	56	4145.4334	1.000	ok
V1/v1_Soccer.3dm	22	26	719.9727	1371	3819.6059	5.305	extra?
V1/v1_Speeder.3dm	2	2	3650.0078	17	3650.0078	1.000	ok
V1/v1_SphericalSpiral.3dm	4	4	8560.2946	28	8560.2946	1.000	ok
V1/v1_Stearman.3dm	1	1	730.0816	118	730.0816	1.000	ok
V1/v1_T-Joint1.3dm	9	20	2094.4138	17	2049.0215	0.978	ok
V1/v1_T-Joint2.3dm	13	18	2467.3858	39	2256.9524	0.915	DROPPED
V1/v1_Terrain.3dm	1	1	910.4292	8	910.4292	1.000	ok
V1/v1_UntrimmedSurfaces.3dm	11	141	8779.3396	49	8346.2617	0.951	ok
V1/v1_five_solids.3dm	5	13	747.0445	5	746.6628	0.999	ok
